DATES,Liv Ex 100  Index Level
01/12/2003,100
01/01/2004,100.41
02/02/2004,100.03
01/03/2004,99.62
01/04/2004,98.4
03/05/2004,98.02
01/06/2004,99.81
01/07/2004,97.56
02/08/2004,97.12
01/09/2004,96.97
01/10/2004,97.03
01/11/2004,96.46
01/12/2004,97.87
03/01/2005,97.87
01/02/2005,98.91
01/03/2005,99.93
01/04/2005,100.53
02/05/2005,101.4
01/06/2005,101.08
01/07/2005,102.19
01/08/2005,105.45
01/09/2005,106.12
03/10/2005,111.88
01/11/2005,114.18
01/12/2005,115.09
02/01/2006,118.28
01/02/2006,122.48
01/03/2006,127.38
03/04/2006,132.72
01/05/2006,141.42
01/06/2006,154.87
03/07/2006,161.94
01/08/2006,164.23
01/09/2006,161.63
02/10/2006,165.45
01/11/2006,168.35
01/12/2006,172.27
01/01/2007,175.91
01/02/2007,181.12
01/03/2007,191.11
02/04/2007,208.78
01/05/2007,232.68
01/06/2007,245.21
02/07/2007,249.55
01/08/2007,246.9
03/09/2007,243.47
01/10/2007,240.95
01/11/2007,239.53
03/12/2007,241.52
01/01/2008,242.8
01/02/2008,249.09
03/03/2008,256.07
01/04/2008,259.94
01/05/2008,260.79
02/06/2008,266.57
01/07/2008,265.05
01/08/2008,265.13
01/09/2008,255.33
01/10/2008,215.9
03/11/2008,211.41
01/12/2008,206.81
01/01/2009,209.33
02/02/2009,212.1
02/03/2009,209.57
01/04/2009,215.29
01/05/2009,216.02
01/06/2009,216.21
01/07/2009,217.57
03/08/2009,227.53
01/09/2009,232.06
01/10/2009,236.41
02/11/2009,237.33
01/12/2009,239.36
04/01/2010,245.84
01/02/2010,253.34
01/03/2010,267.4
01/04/2010,283.8
03/05/2010,296.26
01/06/2010,304.67
01/07/2010,300.93
02/08/2010,303.58
01/09/2010,308.12
01/10/2010,315.65
01/11/2010,329.16
01/12/2010,336.28
03/01/2011,346.14
01/02/2011,357.45
01/03/2011,359.01
01/04/2011,358.95
02/05/2011,358.92
01/06/2011,364.69
01/07/2011,359.01
01/08/2011,344.54
01/09/2011,322.66
03/10/2011,308.03
01/11/2011,297.96
01/12/2011,286.33
03/01/2012,290.3
01/02/2012,293.66
01/03/2012,293.55
02/04/2012,289.92
01/05/2012,278.28
01/06/2012,265.12
02/07/2012,257.69
01/08/2012,258.78
04/09/2012,260.08
01/10/2012,258.4
01/11/2012,257.55
03/12/2012,260.78
02/01/2013,268.03
01/02/2013,276.31
01/03/2013,279.89
01/04/2013,276.17
01/05/2013,275.44
03/06/2013,274.22
01/07/2013,272.98
01/08/2013,272.72
03/09/2013,267.95
01/10/2013,265.18
01/11/2013,258.46
02/12/2013,257.15
02/01/2014,254.83
03/02/2014,252.5
03/03/2014,249.02
01/04/2014,246.58
01/05/2014,243.13
02/06/2014,236.02
01/07/2014,234.01
01/08/2014,236.21
02/09/2014,236.86
01/10/2014,237.89
03/11/2014,238.58
01/12/2014,238.5
02/01/2015,243.06
02/02/2015,242.11
02/03/2015,241.03
01/04/2015,242
01/05/2015,241.85
01/06/2015,244.32
01/07/2015,241.43
03/08/2015,241.64
01/09/2015,241.65
01/10/2015,240.27
02/11/2015,236.71
01/12/2015,238.26
01/01/2016,240.87
01/02/2016,243.7
01/03/2016,250.12
01/04/2016,252.75
02/05/2016,254.31
01/06/2016,259.71
01/07/2016,269.07
01/08/2016,276.83
01/09/2016,281.23
03/10/2016,291.36
01/11/2016,296.19
01/12/2016,297.33
03/01/2017,301.08
01/02/2017,302.26
01/03/2017,304.3
03/04/2017,302.69
01/05/2017,303.94
01/06/2017,307.1
03/07/2017,307.22
01/08/2017,308.67
01/09/2017,308.03
02/10/2017,308.93
01/11/2017,312.96
01/12/2017,312.69
02/01/2018,312.47
01/02/2018,312.16
01/03/2018,310.69
02/04/2018,311.66
01/05/2018,313.07
01/06/2018,316.62
02/07/2018,314.47
01/08/2018,315.98
04/09/2018,316.25
01/10/2018,313.94
01/11/2018,313.37
03/12/2018,312.05
02/01/2019,311.98
01/02/2019,309.76
01/03/2019,309.03
01/04/2019,308.53
01/05/2019,308.01
03/06/2019,309.22
01/07/2019,310.07
01/08/2019,312.37
03/09/2019,311.35
01/10/2019,308.37
01/11/2019,304.42
02/12/2019,302.56
01/01/2020,301.88
03/02/2020,302.56
02/03/2020,299.36
01/04/2020,298.46
01/05/2020,296.25
01/06/2020,299.65
01/07/2020,302.15
03/08/2020,306.06
01/09/2020,310.39
01/10/2020,313.99
02/11/2020,316.63
01/12/2020,318.99
04/01/2021,320.88
01/02/2021,322.67
01/03/2021,327.91
01/04/2021,332.86
03/05/2021,335.25
01/06/2021,337.8
01/07/2021,346.57
02/08/2021,350.93
01/09/2021,364.44
01/10/2021,372.44
01/11/2021,382.59
01/12/2021,392.52
03/01/2022,399.84
01/02/2022,401.41
01/03/2022,404.02
01/04/2022,406.82
02/05/2022,409.69
01/06/2022,412.53
01/07/2022,411.23
01/08/2022,416.61
01/09/2022,424.35
03/10/2022,422.06
01/11/2022,420.51
01/12/2022,419.64
03/01/2023,413.82
01/02/2023,415.2
01/03/2023,416.07
03/04/2023,414.04
01/05/2023,405.68
01/06/2023,393.82
03/07/2023,381.41
01/08/2023,376.55
01/09/2023,376.34
02/10/2023,369.24
01/11/2023,364.3
01/12/2023,360.37
02/01/2024,359.25
01/02/2024,355.16
01/03/2024,356.72
01/04/2024,351.93
01/05/2024,349.73
03/06/2024,348.21
01/07/2024,344.32
01/08/2024,340.77
03/09/2024,335.11
01/10/2024,335.28
01/11/2024,327.04
02/12/2024,327.63
02/01/2025,326.14
03/02/2025,323.51
03/03/2025,321.13
30/04/2025,315.7
31/05/2025,314.25
,
,
,
