Date,Price,Phase,Market_Phase
2003-01-01,100.41,Neutral,Bear Market
2003-02-01,100.03,Neutral,Bear Market
2003-03-01,99.62,Neutral,Bear Market
2003-04-01,97.87,Trough,Accumulation
2003-05-01,98.91,Neutral,Bear Market
2003-06-01,99.93,Neutral,Bear Market
2003-07-01,118.28,Neutral,Bear Market
2003-08-01,122.48,Neutral,Bear Market
2003-09-01,127.38,Neutral,Bear Market
2003-10-01,175.91,Neutral,Bear Market
2003-11-01,181.12,Neutral,Bear Market
2003-12-01,191.11,Neutral,Bear Market
2004-01-01,242.8,Neutral,Bear Market
2004-02-01,249.09,Neutral,Bear Market
2004-03-01,256.07,Peak,Distribution
2004-04-01,209.33,Trough,Accumulation
2004-05-01,212.1,Peak,Distribution
2004-06-01,209.57,Trough,Accumulation
2004-07-01,245.84,Neutral,Bear Market
2004-08-01,253.34,Neutral,Bear Market
2004-09-01,267.4,Neutral,Bear Market
2004-10-01,283.8,Neutral,Bear Market
2004-11-01,304.67,Peak,Distribution
2004-12-01,300.93,Trough,Accumulation
2005-01-01,303.58,Neutral,Bear Market
2005-02-01,308.12,Neutral,Bear Market
2005-03-01,315.65,Neutral,Bear Market
2005-04-01,329.16,Neutral,Bear Market
2005-05-01,336.28,Neutral,Bear Market
2005-06-01,346.14,Neutral,Bear Market
2005-07-01,357.45,Neutral,Bear Market
2005-08-01,359.01,Peak,Distribution
2005-09-01,358.95,Neutral,Bear Market
2005-10-01,358.92,Trough,Accumulation
2005-11-01,364.69,Peak,Distribution
2005-12-01,359.01,Neutral,Bear Market
2006-01-01,344.54,Neutral,Bear Market
2006-02-01,322.66,Neutral,Bear Market
2006-03-01,308.03,Neutral,Bear Market
2006-04-01,297.96,Neutral,Bear Market
2006-05-01,286.33,Trough,Accumulation
2006-06-01,290.3,Neutral,Bear Market
2006-07-01,293.66,Peak,Distribution
2006-08-01,293.55,Neutral,Bear Market
2006-09-01,289.92,Neutral,Bear Market
2006-10-01,278.28,Neutral,Bear Market
2006-11-01,265.12,Neutral,Bear Market
2006-12-01,257.69,Trough,Accumulation
2007-01-01,258.78,Neutral,Bear Market
2007-02-01,260.08,Peak,Distribution
2007-03-01,258.4,Neutral,Bull Market
2007-04-01,257.55,Trough,Accumulation
2007-05-01,260.78,Neutral,Bear Market
2007-06-01,268.03,Neutral,Bull Market
2007-07-01,276.31,Neutral,Bull Market
2007-08-01,279.89,Peak,Distribution
2007-09-01,276.17,Neutral,Bear Market
2007-10-01,275.44,Neutral,Bear Market
2007-11-01,274.22,Neutral,Bear Market
2007-12-01,272.98,Neutral,Bear Market
2008-01-01,272.72,Neutral,Bear Market
2008-02-01,267.95,Neutral,Bear Market
2008-03-01,265.18,Neutral,Bear Market
2008-04-01,258.46,Neutral,Bear Market
2008-05-01,257.15,Neutral,Bear Market
2008-06-01,254.83,Neutral,Bear Market
2008-07-01,252.5,Neutral,Bear Market
2008-08-01,249.02,Neutral,Bear Market
2008-09-01,246.58,Neutral,Bear Market
2008-10-01,243.13,Neutral,Bear Market
2008-11-01,236.02,Neutral,Bear Market
2008-12-01,234.01,Trough,Accumulation
2009-01-01,236.21,Neutral,Bear Market
2009-02-01,236.86,Neutral,Bear Market
2009-03-01,237.89,Neutral,Bear Market
2009-04-01,238.58,Peak,Distribution
2009-05-01,238.5,Trough,Accumulation
2009-06-01,243.06,Peak,Distribution
2009-07-01,242.11,Neutral,Bear Market
2009-08-01,241.03,Trough,Accumulation
2009-09-01,242.0,Peak,Distribution
2009-10-01,241.85,Trough,Accumulation
2009-11-01,244.32,Peak,Distribution
2009-12-01,241.43,Trough,Accumulation
2010-01-01,241.64,Neutral,Bear Market
2010-02-01,241.65,Peak,Distribution
2010-03-01,240.27,Neutral,Bear Market
2010-04-01,236.71,Trough,Accumulation
2010-05-01,238.26,Neutral,Bear Market
2010-06-01,240.87,Neutral,Bear Market
2010-07-01,243.7,Neutral,Bear Market
2010-08-01,250.12,Neutral,Bear Market
2010-09-01,252.75,Neutral,Bear Market
2010-10-01,254.31,Neutral,Bull Market
2010-11-01,259.71,Neutral,Bull Market
2010-12-01,269.07,Neutral,Bull Market
2011-01-01,276.83,Neutral,Bull Market
2011-02-01,281.23,Neutral,Bull Market
2011-03-01,291.36,Neutral,Bull Market
2011-04-01,296.19,Neutral,Bull Market
2011-05-01,297.33,Neutral,Bull Market
2011-06-01,301.08,Neutral,Bull Market
2011-07-01,302.26,Neutral,Bull Market
2011-08-01,304.3,Peak,Distribution
2011-09-01,302.69,Trough,Accumulation
2011-10-01,303.94,Neutral,Bull Market
2011-11-01,307.1,Neutral,Bull Market
2011-12-01,307.22,Neutral,Bull Market
2012-01-01,308.67,Peak,Distribution
2012-02-01,308.03,Trough,Accumulation
2012-03-01,308.93,Neutral,Bull Market
2012-04-01,312.96,Peak,Distribution
2012-05-01,312.69,Neutral,Bull Market
2012-06-01,312.47,Neutral,Bull Market
2012-07-01,312.16,Neutral,Bull Market
2012-08-01,310.69,Trough,Accumulation
2012-09-01,311.66,Neutral,Bull Market
2012-10-01,313.07,Neutral,Bull Market
2012-11-01,316.62,Peak,Distribution
2012-12-01,314.47,Trough,Accumulation
2013-01-01,315.98,Neutral,Bull Market
2013-02-01,316.25,Peak,Distribution
2013-03-01,313.94,Neutral,Bull Market
2013-04-01,313.37,Neutral,Bull Market
2013-05-01,312.05,Neutral,Bull Market
2013-06-01,311.98,Neutral,Bull Market
2013-07-01,309.76,Neutral,Bull Market
2013-08-01,309.03,Neutral,Bull Market
2013-09-01,308.53,Neutral,Bull Market
2013-10-01,308.01,Trough,Accumulation
2013-11-01,309.22,Neutral,Bull Market
2013-12-01,310.07,Neutral,Bull Market
2014-01-01,312.37,Peak,Distribution
2014-02-01,311.35,Neutral,Bull Market
2014-03-01,308.37,Neutral,Bull Market
2014-04-01,304.42,Neutral,Bull Market
2014-05-01,302.56,Neutral,Bull Market
2014-06-01,301.88,Trough,Accumulation
2014-07-01,302.56,Peak,Distribution
2014-08-01,299.36,Neutral,Bear Market
2014-09-01,298.46,Neutral,Bear Market
2014-10-01,296.25,Trough,Accumulation
2014-11-01,299.65,Neutral,Bear Market
2014-12-01,302.15,Neutral,Bear Market
2015-01-01,306.06,Neutral,Bull Market
2015-02-01,310.39,Neutral,Bull Market
2015-03-01,313.99,Neutral,Bull Market
2015-04-01,316.63,Neutral,Bull Market
2015-05-01,318.99,Neutral,Bull Market
2015-06-01,320.88,Neutral,Bull Market
2015-07-01,322.67,Neutral,Bull Market
2015-08-01,327.91,Neutral,Bull Market
2015-09-01,332.86,Neutral,Bull Market
2015-10-01,335.25,Neutral,Bull Market
2015-11-01,337.8,Neutral,Bull Market
2015-12-01,346.57,Neutral,Bull Market
2016-01-01,350.93,Neutral,Bull Market
2016-02-01,364.44,Neutral,Bull Market
2016-03-01,372.44,Neutral,Bull Market
2016-04-01,382.59,Neutral,Bull Market
2016-05-01,392.52,Neutral,Bull Market
2016-06-01,399.84,Neutral,Bull Market
2016-07-01,401.41,Neutral,Bull Market
2016-08-01,404.02,Neutral,Bull Market
2016-09-01,406.82,Neutral,Bull Market
2016-10-01,409.69,Neutral,Bull Market
2016-11-01,412.53,Peak,Distribution
2016-12-01,411.23,Trough,Accumulation
2017-01-01,416.61,Neutral,Bull Market
2017-02-01,424.35,Peak,Distribution
2017-03-01,422.06,Neutral,Bull Market
2017-04-01,420.51,Neutral,Bull Market
2017-05-01,419.64,Neutral,Bull Market
2017-06-01,413.82,Trough,Accumulation
2017-07-01,415.2,Neutral,Bull Market
2017-08-01,416.07,Peak,Distribution
2017-09-01,414.04,Neutral,Bull Market
2017-10-01,405.68,Neutral,Bull Market
2017-11-01,393.82,Neutral,Bull Market
2017-12-01,381.41,Neutral,Bull Market
2018-01-01,376.55,Neutral,Bull Market
2018-02-01,376.34,Neutral,Bull Market
2018-03-01,369.24,Neutral,Bull Market
2018-04-01,364.3,Neutral,Bull Market
2018-05-01,360.37,Neutral,Bear Market
2018-06-01,359.25,Neutral,Bear Market
2018-07-01,355.16,Trough,Accumulation
2018-08-01,356.72,Peak,Distribution
2018-09-01,351.93,Neutral,Bear Market
2018-10-01,349.73,Neutral,Bear Market
2018-11-01,348.21,Neutral,Bear Market
2018-12-01,344.32,Neutral,Bear Market
2019-01-01,340.77,Neutral,Bear Market
2019-02-01,335.11,Trough,Accumulation
2019-03-01,335.28,Peak,Distribution
2019-04-01,327.04,Trough,Accumulation
2019-05-01,327.63,Peak,Distribution
2019-06-01,326.14,Neutral,Bear Market
2019-07-01,323.51,Neutral,Bear Market
2019-08-01,321.13,Neutral,Bear Market
2019-09-01,315.7,Neutral,Bear Market
2019-10-01,314.25,Neutral,Bear Market
